"filename", "language", "PHP", "Markdown", "JSON", "CSS", "JavaScript", "XML", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\themify-icons\fonts\themify.svg", "XML", 0, 0, 0, 0, 0, 362, 0, 0, 0, 0, 0, 362
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\themify-icons\themify-icons.css", "CSS", 0, 0, 0, 1077, 0, 0, 0, 0, 0, 1, 4, 1082
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\briefcase.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\cancel.svg", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 1, 17
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\demo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\deskapp-logo-white.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\deskapp-logo.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\github.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\menu-icon.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\page-icon.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\person.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\plyr.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\tick.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 1, 13
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\css\datepicker.css", "CSS", 0, 0, 0, 574, 0, 0, 0, 0, 0, 12, 37, 623
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\css\datepicker.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\datepicker.js", "JavaScript", 0, 0, 0, 0, 1790, 0, 0, 0, 0, 83, 363, 2236
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\datepicker.min.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.cs.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.da.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.de.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
